,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1996/05/27 1500,1996/05/27 1500,1996/05/29 0300,...,...,0,+4,N,...,2,0,370,400,9,2,-33,...,
1,1996/07/01 1320,1996/07/01 1800,1996/07/02 1100,...,...,0,0,N,...,3,40,360,370,11,2,-20,...,
2,1996/08/07 0600,1996/08/07 1200,1996/08/08 1000,...,...,0,0,N,...,2,10,350,380,7,2,-23,...,
3,1996/12/23 1600,1996/12/23 1700,1996/12/25 1100,...,...,+10,0,N,...,2,20,360,420,10,2,-18,435,1996/12/19 1630 H
4,1997/01/10 0104,1997/01/10 0400,1997/01/11 0200,...,...,0,0,Y,...,1,100 S,450,460,14,2,-78,507,1997/01/06 1510 H
5,1997/02/09 1321,1997/02/10 0200,1997/02/10 1900,...,...,0,0,Y,...,2,90  S,450,600,8,2,-68,683,1997/02/07 0030 H
6,1997/04/10 1745,1997/04/11 0600,1997/04/11 1900,...,...,0,0,Y,...,1,150,460,470,20,2,-82,552,1997/04/07 1427 H
7,1997/04/21 0600,1997/04/21 1000,1997/04/23 0400,...,...,+4,+2,Y,...,2,40,360,420,12,2,-107,...,
8,1997/05/15 0159,1997/05/15 0900,1997/05/16 0000,...,...,0,0,N,Y,1,150 S,450,480,21,2,-115,616,1997/05/12 0530 H
9,1997/05/26 0957,1997/05/26 1600,1997/05/27 1000,...,...,0,+9,Y,...,2,70 S,340,350,10,2H,-74,381,1997/05/21 2100
10,1997/06/08 1636,1997/06/08 1800,1997/06/10 0000,...,...,+8,0,Y,...,3,30,380,400,12,2,-84,...,
11,1997/06/19 0032,1997/06/19 0700,1997/06/20 2300,...,...,-2,-31,Y,Y,2,60,360,390,8,2,-36,...,
12,1997/07/15 0311,1997/07/15 0800,1997/07/16 1100,...,...,0,-11,Y,Y,2,80,350,360,10,2,-45,...,
13,1997/08/03 1042,1997/08/03 1300,1997/08/04 0300,...,...,0,0,Y,...,1,80,400,480,16,2,-48,410,1997/07/30 0445 H
14,1997/08/17 0200,1997/08/17 0600,1997/08/17 2000,...,...,...,...,N,...,2W,60,390,410,7,0,-28,...,
15,1997/09/03 0800,1997/09/03 1300,1997/09/03 2100,...,...,...,...,Y,N,3W,40 S,410,430,14,1,-98,405,1997/08/30 0130 H
16,1997/09/21 1651,1997/09/21 2100,1997/09/22 1600,...,...,+3,0,N,...,1,110,440,470,16,2,-36,450,1997/09/17 2028 H
17,1997/10/01 0059,1997/10/01 1600,1997/10/02 2300,...,...,0,0,Y,N,1,60 S,450,470,10,2,-98,580,1997/09/28 0108 H
18,1997/10/10 0300,1997/10/10 1100,1997/10/10 2200,...,...,...,...,Y,...,2,30,430,460,8,1,-64,...,
19,1997/10/10 1612,1997/10/10 2200,1997/10/12 0000,...,...,0,0,Y,Y,1,40 S,400,450,12,2,-130,430,1997/10/06 1528
20,1997/10/26 1200,1997/10/27 0000,1997/10/28 0700,...,...,...,...,Y,...,2,40,500,520,7,1,-60,572,1997/10/23 1126 H
21,1997/11/06 2248,1997/11/07 0400,1997/11/09 1200,...,...,+11,-21 (2 MCs),Y,N,2,140 S,400,460,11,2,-110,640,1997/11/04 0610 H
22,1997/11/22 0949,1997/11/22 1900,1997/11/23 1400,...,...,0,-2,Y,...,1,170 S,510,520,17,2,-108,640,dg (1997/11/19 1700)
23,1997/11/23 1900,1997/11/24 0000,1997/11/25 0000,...,...,...,...,Y,...,2,100,530,590,5,0,-47,...,
24,1997/12/10 0526,1997/12/10 1800,1997/12/12 0000,...,...,...,...,...,...,2,50 S,350,380,12,0,-60,460,1997/12/06 1027
25,1997/12/30 0209,1997/12/30 1000,1997/12/31 1100,...,...,...,...,Y,...,3,50 S,370,410,12,1,-77,430,1997/12/26 0231
26,1998/01/06 1416,1998/01/07 0100,1998/01/08 2200,...,...,+2,0 (2 MCs),Y,..,2,80 S,400,410,16,2,-77,480,1998/01/02 2328 H
27,1998/01/09 0700,1998/01/09 0700,1998/01/10 0800,...,...,...,...,N,...,2,0,450,500,6,1,-28,...,
28,1998/01/20 0000,1998/01/20 1700,1998/01/21 0400,...,...,...,...,Y,...,3W,50,430,450,5,1,-29,...,
29,1998/01/21 0400,1998/01/21 0600,1998/01/22 1300,...,...,...,...,N,...,3W,0,380,400,13,0,-11,430,1998/01/17 0409 H
30,1998/01/28 1600(A),1998/01/29 2000,1998/01/31 0100,...,...,...,...,Y,N,2,30 S,380,410,7,0,-55,557,1998/01/25 1526 H
31,1998/02/04 0000,1998/02/04 0400,1998/02/05 2300,...,...,0,0,Y,...,1,50,320,390,11,2,-34,...,
32,1998/02/17 0400,1998/02/17 1000,1998/02/17 2100,ns,ns,0,+7,Y,...,2W,30,400,420,12,2H,-100,602,1998/02/14 0655
33,1998/02/18 0750(A),1998/02/19 0100,1998/02/20 0000,-3,...,...,...,N,...,2,20 S,440,460,9,1,-51,...,
34,1998/03/04 1156,1998/03/04 1300,1998/03/06 0900,0,-9,0,-3,N,...,1,30 S,350,380,12,2,-36,440,1998/02/28 1248
35,1998/03/25 1000,1998/03/25 1300,1998/03/26 1000,...,...,...,...,Y,Y,1,20,400,400,10,1,-56,...,
36,1998/03/30 2200,1998/03/31 1100,1998/04/03 0200,-6,0,...,...,N,Y,1,30,360,430,7,0,-35,...,
37,1998/04/11 2300,1998/04/11 2300,1998/04/13 1800,ns,ns,...,...,N,...,3W,20,390,390,8,0,-46,...,
38,1998/05/01 2156,1998/05/02 0500,1998/05/04 0200,-2,-24,+7,-9,Y,Y,1,150 S,520,650,11,2,-85,780,1998/04/29 1658 H
39,1998/05/04 0215(A),1998/05/04 1000,1998/05/07 2300,-7,0,...,...,Y,...,2,250 Wv,550,830,10,0,-205,1150,1998/05/02 1406 H(p)
40,1998/06/02 0800,1998/06/02 1000,1998/06/02 1800,...,...,0,0,N,...,2,10,390,400,9,2,-1,...,
41,1998/06/13 1925,1998/06/14 0400,1998/06/15 0600,...,...,...,...,Y,N,3,80 S,340,380,10,1,-55,...,
42,1998/06/24 1000,1998/06/24 1600,1998/06/25 2300,0,0,0,0,Y,...,2,80,450,540,12,2,-25,...,1998/06/21 0535?
43,1998/06/25 1636,1998/06/26 0400,1998/06/26 1900,0,0,...,...,Y,...,2,30 S,470,490,11,0,-101,...,
44,1998/07/05 0315(A),1998/07/06 0600,1998/07/09 0700,0,...,...,...,N,...,1,50 S,450,630,5,0,-30,dg,dg
45,1998/07/10 2300,1998/07/11 0000,1998/07/13 1500,...,...,...,...,Y,Y,3W,20,400,430,10,0,-35,dg,dg
46,1998/08/01 0400,1998/08/01 0400,1998/08/03 1000,0,...,...,...,N,Y,3,30,410,450,7,1,-6,dg,dg
47,1998/08/05 1300,1998/08/05 1300,1998/08/06 1200,...,...,...,...,Y,Y,2W,0,360,390,8,1,-138,dg,dg
48,1998/08/07 1100,1998/08/07 2300,1998/08/09 2300,...,...,...,...,N,Y,2,0,450,500,7,0,-62,dg,dg
49,1998/08/10 0046,1998/08/10 1100,1998/08/10 2200,ns,ns,...,...,Y,N,3W,100 S,450,500,7,0,-27,dg,dg
50,1998/08/11 2300,1998/08/12 0100,1998/08/13 1400,ns,ns,...,...,Y,...,3W,20,370,420,8,1,-19,dg,dg
51,1998/08/19 1847,1998/08/20 0600,1998/08/21 2000,0,0,+4,0,Y,Y,1,50 S,320,340,13,2,-67,dg,dg
52,1998/08/26 0651,1998/08/26 2200,1998/08/28 0000,0,+18,...,...,Y,...,2,200 S,650,860,14,0,-155,1260,dg (1998/08/24 2200)
53,1998/09/23 0200,1998/09/23 0400,1998/09/23 1800,ns,ns,...,...,Y,N,2,80,420,490,7,1,-33,dg,dg
54,1998/09/24 2345,1998/09/25 0600,1998/09/26 1600,-2,+4,+4,-3,Y,Y,1,300 S,640,820,13,2,-207,1020,dg (1998/09/23 0700)
55,1998/10/18 1952,1998/10/19 0400,1998/10/20 0700,0,0,0,-17,Y,Y,1,50 S,390,430,18,2,-112,510,1998/10/15 1004 H
56,1998/10/23 1230(A),1998/10/23 1500,1998/10/24 1600,0,0,...,...,N,Y,3,50 S,520,600,7,0,-52,...,
57,1998/11/07 0815,1998/11/07 2200,1998/11/09 0100,0,0,...,...,Y,...,2,130 S,450,530,15,1,-81,570,1998/11/04 0754 H
58,1998/11/08 0451,1998/11/09 0100,1998/11/11 0100,+8,+17,0,-24,Y,...,2,200 S,450,640,12,2,-149,740,1998/11/05 2044 H
